spend_id,campaign_id,spend_date,spend_amount,impressions,clicks
1,C001,2024-01-15,275.00,18200,142
2,C001,2024-01-16,260.00,17500,128
3,C001,2024-01-17,290.00,19100,155
4,C001,2024-02-10,310.00,20400,168
5,C001,2024-03-05,245.00,16800,119
6,C001,2024-04-12,280.00,18900,147
7,C002,2024-01-03,410.00,8200,615
8,C002,2024-01-10,385.00,7800,572
9,C002,2024-01-17,420.00,8500,640
10,C002,2024-02-05,395.00,8100,598
11,C002,2024-02-14,440.00,9000,680
12,C002,2024-03-01,460.00,9200,705
13,C002,2024-03-15,375.00,7600,555
14,C003,2024-01-08,48.00,12000,840
15,C003,2024-02-05,52.00,12500,900
16,C003,2024-03-04,45.00,11800,790
17,C003,2024-04-01,50.00,12200,870
18,C003,2024-05-06,55.00,13000,920
19,C003,2024-06-03,47.00,11500,810
20,C004,2024-02-03,165.00,22000,330
21,C004,2024-02-10,178.00,23500,355
22,C004,2024-03-01,155.00,20800,310
23,C004,2024-03-15,182.00,24200,365
24,C004,2024-04-05,170.00,22800,340
25,C004,2024-05-10,160.00,21500,318
26,C005,2024-03-05,180.00,4500,225
27,C005,2024-03-12,210.00,5200,260
28,C005,2024-03-19,195.00,4800,240
29,C005,2024-03-26,165.00,4100,205
30,C006,2024-04-02,520.00,10500,790
31,C006,2024-04-10,485.00,9800,735
32,C006,2024-04-18,545.00,11000,825
33,C006,2024-05-01,510.00,10200,770
34,C006,2024-05-15,560.00,11300,850
35,C006,2024-06-01,495.00,10000,750
36,C006,2024-06-15,530.00,10700,805
37,C007,2024-04-16,205.00,3200,96
38,C007,2024-05-01,215.00,3400,102
39,C007,2024-05-15,195.00,3100,89
40,C007,2024-06-01,225.00,3500,108
41,C007,2024-06-15,210.00,3300,98
42,C007,2024-07-01,230.00,3600,112
43,C008,2024-05-03,135.00,28000,196
44,C008,2024-05-17,128.00,26500,182
45,C008,2024-06-01,142.00,29500,210
46,C008,2024-06-15,130.00,27000,188
47,C008,2024-07-01,138.00,28800,198
48,C008,2024-08-01,125.00,26000,178
49,C009,2024-07-03,340.00,22500,175
50,C009,2024-07-15,365.00,24000,192
51,C009,2024-08-01,355.00,23200,185
52,C009,2024-08-15,320.00,21000,165
53,C009,2024-09-01,375.00,24800,198
54,C009,2024-09-15,330.00,21800,170
55,C010,2024-06-05,95.00,15000,75
56,C010,2024-07-03,105.00,16500,85
57,C010,2024-08-05,100.00,15800,80
58,C010,2024-09-02,110.00,17200,90
59,C010,2024-10-07,98.00,15500,78
60,C010,2024-11-04,92.00,14500,70
