lead_id,campaign_id,lead_date,lead_source,company_size,lead_status,converted_date
L001,C001,2024-01-18,facebook,smb,converted,2024-02-12
L002,C001,2024-01-20,facebook,mid_market,lost,
L003,C001,2024-02-11,facebook,enterprise,converted,2024-03-28
L004,C001,2024-03-06,facebook,smb,lost,
L005,C001,2024-04-14,facebook,mid_market,open,
L006,C002,2024-01-04,google,smb,converted,2024-01-22
L007,C002,2024-01-11,google,smb,converted,2024-02-01
L008,C002,2024-01-18,google,mid_market,converted,2024-02-15
L009,C002,2024-02-06,google,enterprise,lost,
L010,C002,2024-02-15,google,smb,converted,2024-03-05
L011,C002,2024-03-02,google,mid_market,converted,2024-03-20
L012,C002,2024-03-16,google,smb,lost,
L013,C003,2024-01-09,email,mid_market,converted,2024-02-08
L014,C003,2024-02-06,email,smb,converted,2024-03-01
L015,C003,2024-03-05,email,smb,lost,
L016,C003,2024-04-02,email,enterprise,converted,2024-05-10
L017,C003,2024-05-07,email,mid_market,open,
L018,C003,2024-06-04,email,smb,converted,2024-06-28
L019,C004,2024-02-05,instagram,smb,converted,2024-02-20
L020,C004,2024-02-12,instagram,smb,lost,
L021,C004,2024-03-02,instagram,mid_market,converted,2024-03-18
L022,C004,2024-03-16,instagram,smb,lost,
L023,C004,2024-04-06,instagram,smb,converted,2024-04-25
L024,C004,2024-05-11,instagram,mid_market,open,
L025,C005,2024-03-06,organic,enterprise,converted,2024-04-15
L026,C005,2024-03-08,organic,mid_market,converted,2024-04-02
L027,C005,2024-03-13,organic,enterprise,converted,2024-05-01
L028,C005,2024-03-20,organic,mid_market,lost,
L029,C005,2024-03-27,organic,smb,converted,2024-04-10
L030,C006,2024-04-03,google,smb,converted,2024-04-18
L031,C006,2024-04-11,google,mid_market,converted,2024-05-02
L032,C006,2024-04-19,google,smb,converted,2024-05-08
L033,C006,2024-05-02,google,enterprise,lost,
L034,C006,2024-05-16,google,smb,converted,2024-06-01
L035,C006,2024-06-02,google,mid_market,open,
L036,C006,2024-06-16,google,smb,converted,2024-07-02
L037,C007,2024-04-18,linkedin,enterprise,converted,2024-06-10
L038,C007,2024-05-03,linkedin,enterprise,lost,
L039,C007,2024-05-16,linkedin,mid_market,converted,2024-06-28
L040,C007,2024-06-02,linkedin,enterprise,open,
L041,C007,2024-06-16,linkedin,enterprise,converted,2024-08-01
L042,C007,2024-07-02,linkedin,mid_market,lost,
L043,C008,2024-05-05,display,smb,converted,2024-05-22
L044,C008,2024-05-18,display,smb,lost,
L045,C008,2024-06-03,display,mid_market,converted,2024-06-20
L046,C008,2024-06-16,display,smb,lost,
L047,C008,2024-07-02,display,smb,converted,2024-07-18
L048,C008,2024-08-02,display,smb,lost,
L049,C009,2024-07-05,facebook,mid_market,converted,2024-08-12
L050,C009,2024-07-16,facebook,smb,converted,2024-08-01
L051,C009,2024-08-02,facebook,enterprise,open,
L052,C009,2024-08-16,facebook,smb,lost,
L053,C009,2024-09-02,facebook,mid_market,converted,2024-09-25
L054,C009,2024-09-16,facebook,smb,lost,
L055,C010,2024-06-08,podcast,mid_market,converted,2024-07-20
L056,C010,2024-07-05,podcast,enterprise,converted,2024-09-01
L057,C010,2024-08-06,podcast,smb,lost,
L058,C010,2024-09-04,podcast,mid_market,open,
L059,C010,2024-10-08,podcast,smb,converted,2024-11-15
L060,C010,2024-11-05,podcast,enterprise,open,
